sqft_living,bathrooms,bedrooms,floors,price
1340,1.5,3.0,1.5,313000.0
1930,2.0,3.0,1.0,342000.0
2000,2.25,3.0,1.0,420000.0
1940,2.5,4.0,1.0,550000.0
880,1.0,2.0,1.0,490000.0
1350,2.0,2.0,1.0,335000.0
2710,2.5,4.0,2.0,482000.0
2430,2.5,3.0,1.0,452500.0
1520,2.0,4.0,1.5,640000.0
1710,1.75,3.0,1.0,463000.0
2330,1.75,3.0,1.0,588500.0
1090,1.0,3.0,1.0,365000.0
1200,1.5,3.0,1.0,242500.0
1570,1.5,3.0,1.0,419000.0
3110,3.0,4.0,2.0,367500.0
1370,1.75,3.0,1.0,257950.0
1180,1.5,3.0,1.0,275000.0
2240,1.75,3.0,2.0,750000.0
1450,1.0,4.0,1.0,435000.0
1750,2.25,3.0,2.5,626000.0
2730,2.5,4.0,2.0,612500.0
1600,1.75,4.0,1.0,495000.0
2090,2.5,3.0,1.0,285000.0
2360,1.75,3.0,1.0,615000.0
2200,2.25,4.0,1.5,698000.0
2820,2.5,5.0,2.0,675000.0
2600,2.5,3.0,1.0,790000.0
1560,1.75,4.0,1.0,382500.0
2860,2.5,4.0,2.0,499950.0
1820,2.0,4.0,1.5,650000.0
2820,2.5,4.0,2.0,625000.0
3630,2.5,4.0,1.5,400000.0
3240,2.5,3.0,2.0,604000.0
800,1.0,2.0,1.0,440000.0
1850,3.0,3.0,1.0,287200.0
1960,2.0,3.0,1.0,403000.0
2390,2.5,3.0,1.0,750000.0
1580,2.25,3.0,1.0,335000.0
1480,2.0,4.0,1.0,260000.0
850,1.0,2.0,1.0,308500.0
1770,2.5,3.0,2.0,439950.0
1210,1.0,2.0,1.0,235000.0
1160,1.0,3.0,1.0,315000.0
1970,2.25,3.0,2.0,437500.0
1930,2.5,3.0,2.0,407500.0
1270,2.5,3.0,3.0,445700.0
3310,2.5,4.0,2.0,838000.0
2710,2.75,4.0,2.0,630000.0
2910,1.75,3.0,1.5,550000.0
2710,2.0,3.0,1.5,805000.0
1800,1.75,3.0,1.0,284000.0
2210,2.5,5.0,1.0,470000.0
1920,1.5,4.0,1.0,430000.0
